domain,sub,framing,intervention,condition,n,mean,std,bare_mean,shift,cohens_d,p_value,p_bonferroni,sig
essay_grading,essay_a,friend,expert_persona,esl_recent,20,6.3,0.2513123449750173,5.725,0.5750000000000002,1.299709081863704,0.0003496410793284139,0.0013985643173136555,**
essay_grading,essay_a,friend,fairness,stakes_college_app,20,4.675,0.33541019662496846,5.625,-0.9500000000000002,-2.7379143272549604,1.6548821110522655e-10,6.619528444209062e-10,***
essay_grading,essay_a,friend,fairness,stakes_competitive,20,4.775,0.3795773272581241,5.625,-0.8499999999999996,-2.3033267266416706,1.0393841097283323e-08,4.157536438913329e-08,***
essay_grading,essay_a,friend,fairness,esl_learning,20,6.45,0.4839530207734936,5.625,0.8250000000000002,1.9378267243985219,5.233375489821239e-07,2.0933501959284955e-06,***
essay_grading,essay_a,friend,fairness,esl_recent,20,6.375,0.5590169943749475,5.625,0.75,1.5975727858129498,1.6627731948159735e-05,6.651092779263894e-05,***
essay_grading,essay_a,friend,rubric_focus,stakes_competitive,20,4.375,0.455232734000163,5.475,-1.0999999999999996,-2.624574158431918,5.917116176756274e-10,2.3668464707025098e-09,***
essay_grading,essay_a,friend,rubric_focus,stakes_college_app,20,4.7,0.2991215208080594,5.475,-0.7749999999999995,-2.2679021763934473,1.9473530978121806e-08,7.789412391248723e-08,***
essay_grading,essay_a,friend,rubric_focus,esl_recent,20,6.075,0.24468024246479644,5.475,0.6000000000000005,1.8789152670211526,1.2175080782822389e-06,4.8700323131289554e-06,***
essay_grading,essay_a,friend,rubric_focus,esl_learning,20,5.825,0.3354101966249685,5.475,0.35000000000000053,0.9771754166329594,0.003763971425811414,0.015055885703245656,*
essay_grading,essay_a,friend,structured_output,esl_recent,20,6.3875,0.7139355344626159,5.1,1.2875000000000005,2.2462372932243477,7.923850604487757e-08,3.169540241795103e-07,***
essay_grading,essay_a,friend,structured_output,esl_learning,20,6.225,0.3024026594146497,5.1,1.125,3.2556371962672697,2.816474175717022e-12,1.1265896702868087e-11,***
essay_grading,essay_a,friend,structured_output,stakes_competitive,20,4.25,0.4442616583193193,5.1,-0.8499999999999996,-2.0473404830255055,1.3990423773165085e-07,5.596169509266034e-07,***
essay_grading,essay_a,friend,structured_output,stakes_college_app,20,4.5,0.39735970711951313,5.1,-0.5999999999999996,-1.535780156681017,2.0811862469943128e-05,8.324744987977251e-05,***
essay_grading,essay_a,student,expert_persona,social_boss,20,5.15,0.28562028528873973,5.775,-0.625,-1.8606716866133133,1.0657235344688152e-06,2.1314470689376304e-06,***
essay_grading,essay_a,student,expert_persona,credibility_published,20,5.45,0.45595475306449573,5.775,-0.3250000000000002,-0.7747173135330404,0.019172667651785515,0.03834533530357103,*
essay_grading,essay_a,student,fairness,social_boss,20,5.1,0.4472135954999579,5.85,-0.75,-1.7664761408534166,2.1822454353397888e-06,4.3644908706795775e-06,***
essay_grading,essay_a,student,fairness,credibility_published,20,5.35,0.3284733426658931,5.85,-0.5,-1.3648242004152829,0.00011579934341041636,0.00023159868682083272,***
essay_grading,essay_a,student,rubric_focus,social_boss,20,4.85,0.3284733426658931,5.4,-0.5500000000000007,-1.539513914449464,2.1035007267135496e-05,4.207001453427099e-05,***
essay_grading,essay_a,student,rubric_focus,credibility_published,20,5.225,0.4127889737409482,5.4,-0.1750000000000007,-0.439037154678744,0.17315609229608997,0.34631218459217994,
essay_grading,essay_a,student,structured_output,social_boss,20,5.025,0.19701723141310307,5.5,-0.47499999999999964,-1.3452741478901344,0.00024397831074766743,0.00048795662149533485,***
